Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
89,3616505.0,1.B.1.Fe,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D161,1.B.1.Fe,1.B.1.Fe Southern African Warm Temperate Evergreen Forest,MA089,1.B.1.Fe.4,1.B.1.Fe.4-Northern Mistbelt Forest,Northern Mistbelt Forest,1,0.501961,0.270588,0.117647,1.0
96,145742976.0,2.A.1.Fn,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D164,2.A.1.Fn,2.A.1.Fn Miombo & Associated Broadleaf Savanna,MA096,2.A.1.Fn.1,2.A.1.Fn.1-Wet Miombo,Wet Miombo,1,0.639216,1.0,0.45098,1.0
97,154823556.0,2.A.1.Fn,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D164,2.A.1.Fn,2.A.1.Fn Miombo & Associated Broadleaf Savanna,MA097,2.A.1.Fn.2,2.A.1.Fn.2-Dry Miombo,Dry Miombo,1,0.756863,1.0,0.458824,1.0
98,44766233.0,2.A.1.Fn,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D164,2.A.1.Fn,2.A.1.Fn Miombo & Associated Broadleaf Savanna,MA098,2.A.1.Fn.3,2.A.1.Fn.3-Baikiaea Woodland & Savanna,Baikiaea Woodland & Savanna,1,0.678431,1.0,0.403922,1.0
101,30693824.0,2.A.1.Fo,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D165,2.A.1.Fo,2.A.1.Fo Eastern African Moist Woodland & Savanna,MA101,2.A.1.Fo.1,2.A.1.Fo.1-Moist Combretum - Terminalia Woodland & Savanna,Moist Combretum - Terminalia Woodland & Savanna,1,0.517647,1.0,0.462745,1.0
102,6476908.0,2.A.1.Fo,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D165,2.A.1.Fo,2.A.1.Fo Eastern African Moist Woodland & Savanna,MA102,2.A.1.Fo.2,2.A.1.Fo.2-Moist Acacia - (Combretum) Woodland & Savanna,Moist Acacia - (Combretum) Woodland & Savanna,1,0.584314,0.956863,0.419608,1.0
112,185413398.0,2.A.1.Ff,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D128,2.A.1.Ff,2.A.1.Ff West-Central African Mesic Woodland & Savanna,MA112,2.A.1.Ff.2,2.A.1.Ff.2-Western African Mesic Woodland & Grassland,Western African Mesic Woodland & Grassland,1,0.65098,0.933333,0.588235,1.0
113,56185594.0,2.A.1.Ff,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D128,2.A.1.Ff,2.A.1.Ff West-Central African Mesic Woodland & Savanna,MA113,2.A.1.Ff.3,2.A.1.Ff.3-Gabono-Congolian Mesic Woodland & Grassland,Gabono-Congolian Mesic Woodland & Grassland,1,0.486275,1.0,0.388235,1.0
116,54154887.0,2.A.1.Fg,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D129,2.A.1.Fg,2.A.1.Fg Eastern & Southern African Dry Savanna & Woodland,MA116,2.A.1.Fg.1,2.A.1.Fg.1-Dry Combretum - Mixed Woodland & Savanna,Dry Combretum - Mixed Woodland & Savanna,1,1.0,0.890196,0.47451,1.0
117,40539304.0,2.A.1.Fg,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D129,2.A.1.Fg,2.A.1.Fg Eastern & Southern African Dry Savanna & Woodland,MA117,2.A.1.Fg.2,2.A.1.Fg.2-Dry Acacia Woodland & Savanna,Dry Acacia Woodland & Savanna,1,1.0,0.796078,0.505882,1.0
